kind,item,category,class,estimate,se,boundary,lo,hi,segment_label
pi,NA,NA,1,0.33107513444336917,0.02008107368715852,FALSE,0.2926045745526261,0.3719442125540066,Moderate Institutional Trust
pi,NA,NA,2,0.10678682338162823,0.011412675794552442,FALSE,0.08621306916789626,0.1315633892512361,Generalized Institutional Distrust
pi,NA,NA,3,0.2422672595705601,0.020488006910652536,FALSE,0.20405265796546915,0.28507536582035553,Presidential and Military Trust
pi,NA,NA,4,0.11139153408328285,0.010333932380758842,FALSE,0.09252298802106525,0.13354176006267085,Broad High Institutional Trust
pi,NA,NA,5,0.20847924852115965,0.019084965238835867,FALSE,0.173217247666822,0.248759778644811,Concentrated High Institutional Trust
rho,justice_system,1,1,2.1122114787521583e-15,1.3081713403560795e-16,TRUE,1.8533282162590244e-15,2.3710947412452922e-15,Moderate Institutional Trust
rho,justice_system,2,1,0.043479578617177196,0.0109794905644831,FALSE,0.026250796929215312,0.0711891888743097,Moderate Institutional Trust
rho,justice_system,3,1,0.1457862796479858,0.03426748407588905,FALSE,0.0900855781272704,0.22732304270908366,Moderate Institutional Trust
rho,justice_system,4,1,0.4559474690029663,0.02871484697445026,FALSE,0.39993167551492836,0.5131003498606035,Moderate Institutional Trust
rho,justice_system,5,1,0.28556598409394507,0.03715694904049205,FALSE,0.21798645948017717,0.36433545905893544,Moderate Institutional Trust
rho,justice_system,6,1,0.05404818107811313,0.014632034961943177,FALSE,0.03141114152630384,0.09145861048588652,Moderate Institutional Trust
rho,justice_system,7,1,0.015172507559810445,0.006558044896162025,FALSE,0.006422311420463948,0.035419572288609945,Moderate Institutional Trust
rho,justice_system,1,2,0.6515521312786914,0.061146750767350835,FALSE,0.5232009708731753,0.7611267786604816,Generalized Institutional Distrust
rho,justice_system,2,2,0.1856292440753412,0.052388966622560894,FALSE,0.10298538275430624,0.31155841277354557,Generalized Institutional Distrust
rho,justice_system,3,2,0.095051623238493893,0.034541956211655477,FALSE,0.045297097695096385,0.18865731751969206,Generalized Institutional Distrust
rho,justice_system,4,2,0.01074374403138596,0.01272808019559261,FALSE,0.001014269190207411,0.10408036380019693,Generalized Institutional Distrust
rho,justice_system,5,2,0.044671976427723734,0.01899205851027686,FALSE,0.019013682425754474,0.10137702283314431,Generalized Institutional Distrust
rho,justice_system,6,2,6.5485672965622044e-15,6.992489943686588e-16,TRUE,5.164774093235128e-15,7.93236049988928e-15,Generalized Institutional Distrust
rho,justice_system,7,2,0.012351280948357291,0.013754228686619891,FALSE,0.001341153310612567,0.10430774097780385,Generalized Institutional Distrust
rho,justice_system,1,3,0.10248196896527081,0.019947428021514488,FALSE,0.06919491505748229,0.1492151358789165,Presidential and Military Trust
rho,justice_system,2,3,0.2772285431387647,0.04255103030868847,FALSE,0.2012494497905734,0.3686533837089423,Presidential and Military Trust
rho,justice_system,3,3,0.4196390834928409,0.031133258589717407,FALSE,0.35956854141440503,0.4821892791557103,Presidential and Military Trust
rho,justice_system,4,3,0.16136215290253098,0.03372595878361308,FALSE,0.10514392457165947,0.2395910836281777,Presidential and Military Trust
rho,justice_system,5,3,0.0318258625167274,0.014804038717353805,FALSE,0.012543553244706126,0.07839620442385262,Presidential and Military Trust
rho,justice_system,6,3,0.007462388983862281,0.006665999644690741,FALSE,0.0012649533016214909,0.04272427144799683,Presidential and Military Trust
rho,justice_system,7,3,2.886484540008703e-15,2.5342135818841706e-16,TRUE,2.3849711222372923e-15,3.3879979577801137e-15,Presidential and Military Trust
rho,justice_system,1,4,0.03767064070477806,0.014938176780847634,FALSE,0.01702417934753955,0.08128596097044653,Broad High Institutional Trust
rho,justice_system,2,4,6.277862182756703e-15,5.836175985180312e-16,TRUE,5.1229001124851584e-15,7.432824253028248e-15,Broad High Institutional Trust
rho,justice_system,3,4,0.022414797416031043,0.023339317436746217,FALSE,0.0027780998554550397,0.1587548269248455,Broad High Institutional Trust
rho,justice_system,4,4,0.026509224671469964,0.01349898295390602,FALSE,0.009578921158539085,0.07121155212837356,Broad High Institutional Trust
rho,justice_system,5,4,0.07555199945209777,0.024960020878437635,FALSE,0.03873160320299957,0.14219791753708333,Broad High Institutional Trust
rho,justice_system,6,4,0.17419467719329898,0.04283246233330846,FALSE,0.10475849469551188,0.2754917967728142,Broad High Institutional Trust
rho,justice_system,7,4,0.663658660562318,0.06017685884786166,FALSE,0.5364675910064259,0.7708563580121073,Broad High Institutional Trust
