strata,upm,wt,post_class1,post_class2,post_class3,post_class4,post_class5,post_class6,modal_class,max_posterior
102,70,1,3.079738455388581e-40,0.9999986806769402,2.9323935517876755e-91,7.86259164420145e-9,1.42852740019907e-93,1.311460468624856e-6,2,0.9999986806769402
102,12,1,3.6150638878029507e-13,2.3194998321876632e-8,0.011862234408438848,7.442026011728705e-4,7.0598817371927e-10,0.9873935390890416,6,0.9873935390890416
102,70,1,0.022513205283289216,2.813732533793566e-23,1.5156754912814543e-4,0.572132562124248,0.4052026650433352,4.600415294990644e-49,4,0.572132562124248
103,127,1,6.609004112318684e-15,1.1024577805723255e-44,1.4162201717608526e-15,0.33323967425107953,0.6667603257489138,3.359385526877958e-30,5,0.6667603257489138
103,113,1,0.001074330750181663,6.799621197321309e-38,1.4877394256705635e-6,0.031045925016844354,0.9678782564935466,3.4669371418171946e-25,5,0.9678782564935466
102,70,1,6.91096070702547e-23,1.0529288820113187e-7,0.5712868164390084,0.421132877616402,2.5951956466081954e-16,0.007580200651700852,3,0.5712868164390084
103,18,1,0.026023272400265935,3.4426098147696316e-36,7.693445892970252e-32,2.8432976414459997e-4,0.9736923978355895,2.313178252829881e-49,5,0.9736923978355895
102,12,1,0.9999999005076351,1.32509112974946e-13,1.4085395029005311e-56,1.4713224388020302e-10,9.934510056539231e-8,1.1858798052045005e-94,1,0.9999999005076351
102,12,1,1.148957079190155e-16,1.219019007848227e-11,0.0075971330798370595,0.07376899116596533,0.9186338757420078,1.8586455902371042e-34,5,0.9186338757420078
103,18,1,0.9703279609118797,7.756600711835789e-24,5.55410297272132e-48,5.82214655250826e-6,0.029666216941568836,2.1753145981684255e-77,1,0.9703279609118797
103,109,1,2.068409792565408e-33,2.0310125819021287e-32,0.002911180588007044,0.9969960017226898,9.28176893030621e-5,1.920455598780165e-29,4,0.9969960017226898
102,32,1,2.12512876342428e-18,2.2810043939940964e-22,0.021610445916259675,0.0038787243191206805,0.9745108072739754,2.2490644049248387e-8,5,0.9745108072739754
103,113,1,0.9013691260861205,1.7060684529202335e-49,1.799247504843063e-23,6.227351443214859e-5,0.09856860039944691,1.850041277537675e-52,1,0.9013691260861205
103,109,1,0.04117863540603928,1.2840172683364146e-33,1.481909181162393e-18,0.00848717999726854,0.9503341845966938,6.864669728765325e-35,5,0.9503341845966938
103,107,1,9.001222640547678e-7,9.717719499545225e-39,9.521907892167628e-7,2.8784517730974106e-4,0.9997103025096377,5.904060794684637e-37,5,0.9997103025096377
102,37,1,9.79898129612678e-22,8.848822839426313e-13,0.976100984290718,0.013599024118108535,0.01029999159028771,6.515362340471729e-18,3,0.976100984290718
102,12,1,2.237027411409325e-37,1.2121581651893182e-6,3.7491866476231764e-17,2.0350778208784022e-4,5.605594412476011e-11,0.9997952800036893,6,0.9997952800036893
103,18,1,0.999998001198212,2.1060269494382524e-14,6.92312425002127e-66,1.965142269402096e-9,1.9968366243742225e-6,1.3729408585568978e-105,1,0.999998001198212
103,95,1,9.910768477854439e-4,6.246202572942289e-8,4.934657243292405e-15,0.1226340824190421,0.8763747782711409,2.113363970796814e-18,5,0.8763747782711409
102,37,1,3.0290315181023587e-5,1.1263159846892696e-20,2.943127000139843e-14,0.14542829327503357,0.8545414164097563,1.2190111886470901e-30,5,0.8545414164097563
103,107,1,7.706253136017991e-48,0.9979057497801076,1.1066323016437527e-49,9.847432603247285e-4,7.238311457723817e-63,0.0011095069595668118,2,0.9979057497801076
103,127,1,3.427349150267716e-23,1.04845499931793e-12,0.998603413774796,0.0013319361591151609,3.661583303375794e-5,2.8034232007568772e-5,3,0.998603413774796
103,113,1,0.27056461464510734,8.91517591845729e-21,2.3019440527057806e-5,0.3027196182086794,0.42669274770568766,1.5829707490399244e-47,5,0.42669274770568766
103,18,1,3.771378742426228e-5,2.117841235949533e-38,2.2676863548882502e-4,0.001510152177804031,0.998225365399282,3.1343230813898026e-37,5,0.998225365399282
103,95,1,0.9996400600988573,1.0703836389956553e-27,9.125959932094475e-42,2.0356402829023293e-8,3.5991954473875356e-4,4.204653184510654e-107,1,0.9996400600988573
102,70,1,0.9999996849436686,4.0201055749292666e-14,5.568300966150245e-55,2.416590220069755e-9,3.1263970057416747e-7,3.469115969002813e-94,1,0.9999996849436686
102,32,1,1.1875761827028555e-42,0.9999999996871765,2.0506997869769079e-109,1.3714013195266094e-11,3.9546241856901035e-122,2.9911012026309677e-10,2,0.9999999996871765
102,32,1,3.23163625518556e-26,1.0817155787465272e-11,2.608009583305441e-59,0.999999999989182,2.2513570779261846e-42,3.878022604346019e-32,4,0.999999999989182
102,70,1,1.852671430386202e-21,3.110197429250457e-26,0.7897680061354512,0.003620396444847502,0.2066115969240056,4.956959006301771e-10,3,0.7897680061354512
102,12,1,0.9914582712340961,1.8126647602621422e-34,5.2461653107622204e-36,3.6859309910658545e-5,0.00850486945599184,1.4905722078123394e-77,1,0.9914582712340961
103,109,1,0.9998381304854257,6.290688463045777e-27,7.694649755567572e-26,2.038520945865977e-6,1.5983099362980064e-4,1.203464532489553e-66,1,0.9998381304854257
102,70,1,5.241476552103966e-20,2.8084790032068345e-6,9.321212531174687e-4,0.9989811465483138,8.392371956450999e-5,1.1363955927152566e-17,4,0.9989811465483138
103,18,1,1.0656976157238011e-20,4.838997983674748e-12,0.07741989926075336,0.17148604619756447,0.7510940545368422,9.980321816083349e-21,5,0.7510940545368422
103,127,1,3.348895847907096e-4,2.367864603682245e-24,3.068396079312284e-19,1.0461924801146676e-4,0.9995604911671961,4.223903892795787e-49,5,0.9995604911671961
103,95,1,6.267478625897884e-11,6.928175394002205e-8,0.15140240568327537,0.014188163068236146,4.092530538300844e-7,0.8344089526510065,6,0.8344089526510065
103,18,1,0.003413621281861535,2.1055151787404414e-49,6.911992619898142e-19,0.0011846600068675245,0.995401718711271,2.5575351674638443e-36,5,0.995401718711271
103,2,1,0.15502201148579353,2.223568024303777e-9,6.286967673008498e-6,0.18987427664384962,0.6550974226791153,7.443241188578921e-35,5,0.6550974226791153
