parameter,estimate,se,lo,hi
pi[1],0.56134,0.02279,0.51666,0.60601
pi[2],0.43866,0.02279,0.39399,0.48334
"rho[NA,cat1,class1]",0.13052,0.02501,0.0815,0.17953
"rho[NA,cat2,class1]",0.18084,0.01456,0.15231,0.20937
"rho[NA,cat3,class1]",0.30833,0.02281,0.26361,0.35305
"rho[NA,cat4,class1]",0.32166,0.01254,0.29708,0.34623
"rho[NA,cat5,class1]",0.05866,0.01421,0.03082,0.08651
"rho[NA,cat1,class2]",0.32148,0.01425,0.29355,0.34941
"rho[NA,cat2,class2]",0.30394,0.0165,0.2716,0.33627
"rho[NA,cat3,class2]",0.22649,0.02748,0.17262,0.28036
"rho[NA,cat4,class2]",0.07718,0.01088,0.05585,0.0985
"rho[NA,cat5,class2]",0.07091,0.01182,0.04775,0.09407
"rho[NA,cat1,class1]",0.09888,0.01205,0.07526,0.12251
"rho[NA,cat2,class1]",0.21466,0.01752,0.18033,0.249
"rho[NA,cat3,class1]",0.32684,0.02702,0.27388,0.37979
"rho[NA,cat4,class1]",0.29724,0.02709,0.24415,0.35033
"rho[NA,cat5,class1]",0.06238,0.00992,0.04294,0.08181
"rho[NA,cat1,class2]",0.3911,0.02268,0.34664,0.43555
"rho[NA,cat2,class2]",0.27979,0.02533,0.23014,0.32944
"rho[NA,cat3,class2]",0.17167,0.02972,0.11341,0.22993
"rho[NA,cat4,class2]",0.09128,0.01268,0.06643,0.11613
"rho[NA,cat5,class2]",0.06616,0.01369,0.03931,0.093
"rho[NA,cat1,class1]",0.11079,0.01295,0.08541,0.13616
"rho[NA,cat2,class1]",0.18432,0.00959,0.16553,0.20311
"rho[NA,cat3,class1]",0.32834,0.02433,0.28065,0.37603
"rho[NA,cat4,class1]",0.32178,0.01721,0.28805,0.3555
"rho[NA,cat5,class1]",0.05478,0.01435,0.02666,0.0829
"rho[NA,cat1,class2]",0.35101,0.01743,0.31685,0.38517
"rho[NA,cat2,class2]",0.29491,0.02041,0.25491,0.33491
"rho[NA,cat3,class2]",0.15975,0.01793,0.12461,0.19489
"rho[NA,cat4,class2]",0.1153,0.01251,0.09078,0.13982
"rho[NA,cat5,class2]",0.07902,0.01097,0.05752,0.10053
"rho[NA,cat1,class1]",0.10209,0.01348,0.07568,0.12851
"rho[NA,cat2,class1]",0.19192,0.01418,0.16413,0.21971
"rho[NA,cat3,class1]",0.3609,0.02934,0.30341,0.4184
"rho[NA,cat4,class1]",0.30468,0.01457,0.27611,0.33324
"rho[NA,cat5,class1]",0.04041,0.01121,0.01843,0.06238
"rho[NA,cat1,class2]",0.42841,0.01703,0.39504,0.46179
"rho[NA,cat2,class2]",0.26404,0.01674,0.23124,0.29684
"rho[NA,cat3,class2]",0.17779,0.01426,0.14983,0.20575
"rho[NA,cat4,class2]",0.07691,0.02125,0.03526,0.11856
"rho[NA,cat5,class2]",0.05285,0.00738,0.03838,0.06731
"rho[NA,cat1,class1]",0.11979,0.01456,0.09126,0.14833
"rho[NA,cat2,class1]",0.1953,0.01953,0.15702,0.23358
"rho[NA,cat3,class1]",0.30548,0.02664,0.25327,0.35769
"rho[NA,cat4,class1]",0.32188,0.02033,0.28204,0.36172
"rho[NA,cat5,class1]",0.05754,0.01133,0.03533,0.07975
"rho[NA,cat1,class2]",0.3852,0.02123,0.34358,0.42681
